"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","София","Изгрев","ДГ №133","детска градина","детска градина","Общинско"
"София-град","Столична","София","Изгрев","ДГ № 29 ""Слънце""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Изгрев","ДГ №23 ""Здраве""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Илинден","3. СУ ""МАРИН ДРИНОВ""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Илинден","43. ОУ ""Христо Смирненски""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Илинден","45 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Илинден","113 СУ""Сава Филаретов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Триадица","ІІ АЕГ ""Томас Джеферсън""","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Илинден","ПГТЕ ""Хенри Форд""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Илинден","ПГАВТ ""А.С.ПОПОВ""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Илинден","ПГХВТ","неспециализирано","професионална гимназия","Общинско"
"София-град","Столична","София","Илинден","ЦСОП""Проф. дпн Георги Ангушев""","център за подкрепа за личностно развитие","център за специална образователна подкрепа","Държавно"
"София-град","Столична","София","Слатина","Регионален център ПППО","център за подкрепа за личностно развитие","регионален център за подкрепа на процеса на приобщаващо образование","Държавно"
"София-град","Столична","София","Илинден","ДГ № 51 ""Щурче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Илинден","ДГ №52 ""ИЛИНДЕНЧЕ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Илинден","ДГ № 158 ""ЗОРА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Илинден","ДГ № 179 "" Синчец ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Илинден","ДГ № 153","детска градина","детска градина","Общинско"
"София-град","Столична","София","Искър","4 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Бусманци","Искър","65 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Искър","68. СУ""Акад.Никола Обрешков""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Искър","69 СУ ""Димитър Маринов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Искър","89 ОУ,,Д-р Христо Стамболски""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Искър","108 СУ ""Н.Беловеждов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Искър","150-то ОУ ""ЦАР СИМЕОН ПЪРВИ""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Искър","163 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Искър","ПГ ПО ТРАНСПОРТ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Искър","ДГ № 88 ,,Детски рай""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Искър","ДГ № 185 ""ЗВЕЗДИЧКА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Искър","ДГ № 144"" Ханс Кристиан Андерс","детска градина","детска градина","Общинско"
"София-град","Столична","София","Искър","Детска градина № 36 Пеперуда","детска градина","детска градина","Общинско"
"София-град","Столична","София","Искър","ДГ №13","детска градина","детска градина","Общинско"
"София-град","Столична","София","Искър","ДГ 96","детска градина","детска градина","Общинско"
